"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032946","positive regulation of mononuclear cell proliferation","15/263","155/18860",0.0967741935483871,6.93977676928738,8.83024747616493,4.69842786775328e-09,4.63620544463979e-07,3.45798944349296e-07,"6352/5788/199/11151/6850/923/604/1026/952/942/10451/3559/29108/57162/4208",15
"GO:0150076","neuroinflammatory response","12/263","91/18860",0.131868131868132,9.45639911419379,9.61615289740925,5.00018081187148e-09,4.80412109056388e-07,3.58323206656828e-07,"6352/5788/3725/199/8530/4318/3684/712/1075/7305/5336/4067",12
"GO:0002443","leukocyte mediated immunity","26/263","488/18860",0.0532786885245902,3.82066945085084,7.5075744311032,5.52129862623207e-09,5.1687849447111e-07,3.8552225495445e-07,"3495/653361/5788/11151/3002/914/6850/939/2210/604/163486/64581/7462/5551/10538/930/3684/22890/712/2268/9188/1075/7305/5336/51571/4067",26
"GO:0002695","negative regulation of leukocyte activation","17/263","212/18860",0.080188679245283,5.75041251165794,8.27177824891305,7.72253501046523e-09,7.04874383080214e-07,5.25742054528252e-07,"5788/26279/8530/604/1445/472/942/55024/2335/2268/7805/3559/3398/7305/57162/10062/4067",17
"GO:0071216","cellular response to biotic stimulus","19/263","274/18860",0.0693430656934307,4.97266242957453,7.87734265434662,1.09567681257737e-08,9.75686839687798e-07,7.27731942012234e-07,"10563/4283/6850/3627/923/929/64581/942/4318/9450/4792/29108/3148/5336/51571/4208/3394/10062/4067",19
"GO:0001906","cell killing","19/263","281/18860",0.0676156583629893,4.84878827652463,7.73004055798661,1.64870445658415e-08,1.43319523118779e-06,1.06897203738927e-06,"10563/6362/653361/5788/11151/3002/914/4283/2999/3627/2633/2210/4069/5551/3001/3684/1075/7305/51571",19
"GO:0050866","negative regulation of cell activation","17/263","235/18860",0.0723404255319149,5.18760618072971,7.68187757375906,3.57130832982528e-08,2.96337425277093e-06,2.2102810165689e-06,"5788/26279/8530/604/1445/472/942/55024/2335/2268/7805/3559/3398/7305/57162/10062/4067",17
"GO:0071674","mononuclear cell migration","17/263","235/18860",0.0723404255319149,5.18760618072971,7.68187757375906,3.57130832982528e-08,2.96337425277093e-06,2.2102810165689e-06,"10563/6352/199/11151/56833/1843/3627/240/1236/2833/5800/4739/7852/29108/7941/51192/4067",17
"GO:0072593","reactive oxygen species metabolic process","17/263","237/18860",0.0717299578059072,5.14382891338178,7.6342596494501,4.04419889611137e-08,3.28119337104502e-06,2.44733158929593e-06,"653361/6850/240/1026/54541/8870/64581/4688/2308/3684/664/672/7305/1182/10549/5336/6505",17
"GO:0071219","cellular response to molecule of bacterial origin","17/263","247/18860",0.0688259109311741,4.93557673065378,7.40396626062161,7.38909131869172e-08,5.86468965316163e-06,4.37427442596235e-06,"10563/4283/3627/923/929/942/4318/9450/4792/29108/3148/5336/51571/4208/3394/10062/4067",17
