"gene","degree","betweenness","closeness"
"HLA-DOB",8,6.46603038141148,0.0013531799729364
"TRIM22",8,0,0.00140646976090014
"MT1G",8,0,0.25
"ATOX1",8,551.609367542775,0.00110497237569061
"BCLAF1",8,360.958942825795,0.00126582278481013
"SORL1",6,231,0.001230012300123
"LAMP3",6,0,0.00142247510668563
"CAPG",6,391.674322186218,0.00123609394313968
"CRLF3",6,315.163184512106,0.00125786163522013
"MAFF",6,4.45420410931789,0.00143061516452074
"PLA2G7",6,34.6866465485577,0.00136986301369863
"MICAL2",6,232.805128205128,0.00119904076738609
"ARPC5",6,63.6287660543595,0.00122100122100122
"PELI1",6,1.41642382293921,0.00140845070422535
"ZFP36L1",6,187.248144432203,0.00115207373271889
"CRIP1",6,255.504436902966,0.000991080277502478
"PLA2G2D",6,160.698490958187,0.00123304562268804
"SP140",6,17.8694032916829,0.00134048257372654
"TRA2B",6,17.2673942257026,0.00105596620908131
"DPT",6,0,0.0013550135501355
"PRDX4",6,564.009776448226,0.00134048257372654
"LPXN",6,33.2760283175842,0.00145560407569141
"PLAAT4",4,2.86002886002886,0.00120481927710843
"DNAJC10",4,13.494028173883,0.00111856823266219
"YME1L1",4,33.366659273946,0.00145985401459854
"SLC31A2",4,231,0.000881834215167548
"PTPRO",4,0,0.00142857142857143
"SKAP2",4,651.923817632445,0.00140449438202247
"DCK",4,0,0.00125628140703518
"DUSP4",4,0,0.00139082058414465
"DDX21",4,0,0.0014367816091954
"PLPP3",4,460,0.000746268656716418
"ABCC3",4,231,0.000699300699300699
"TMX4",4,231,0.00102564102564103
"SLC1A1",4,687,0.00102669404517454
"ZNF395",4,10.2848229384994,0.00126422250316056
"YTHDC1",4,0,0.00098135426889107
"TRIM33",4,31.3888020872313,0.00126262626262626
"SLC25A36",4,0.934523809523809,0.001194743130227
"SGPL1",4,687,0.000898472596585804
"SLC15A2",4,460,0.000832639467110741
"CYFIP2",4,0,0.00100300902708124
"NR1H3",4,0,0.0013869625520111
"LPP",4,231,0.000637348629700446
"PNOC",2,0,0.000806451612903226
"SMCO4",2,0,0.00134770889487871
"YBX3",2,0,1
"ORAI2",2,0,1
"CLCN3",2,0,0.00123609394313968
"APOBEC3B",2,0,0.00128865979381443
"RPS21",2,0,0.00118343195266272
"HSD11B1",2,0,0.00112739571589628
"CFD",2,0,0.00117370892018779
"TSPAN13",2,0,0.00115340253748558
"BTG1",2,0,0.000555555555555556
"ADAM28",2,0,0.00118343195266272
"RRAD",2,0,0.00121212121212121
"GGA2",2,0,0.000957854406130268
"SSR4",2,0,0.00103305785123967
"QPCT",2,0,0.000732600732600733
"ARHGEF18",2,0,1
"ATP2A3",2,0,1
"MARCKSL1",2,0,0.000602046959662854
"SPEN",2,0,0.00108225108225108
"STK24",2,0,0.00138121546961326
"AHNAK",2,0,0.00111731843575419
"PXDC1",2,0,0.000829187396351575
"SEL1L3",2,0,0.00110864745011086
"PHTF2",2,0,0.000938967136150235
"VGLL4",2,0,0.00110987791342952
"CYRIB",2,0,0.00100200400801603
"TPD52",2,0,0.00126582278481013
"NNMT",2,0,0.00127388535031847
"ZBTB1",2,0,0.001230012300123
"SOCS2",2,0,0.00136425648021828
