"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"215579_at",0.103041321277654,3.65402375381568,0.323265471395143,0.749603700742561,0.890781786389571,-6.99031491689398
"208633_s_at",-0.111492107088793,7.25309028815999,-0.323198268501587,0.749653891237798,0.890781786389571,-6.99033736599665
"207789_s_at",-0.0964195129329169,5.36780887503441,-0.323095115599259,0.749730933213011,0.890781786389571,-6.99037181519461
"210331_at",-0.054023857723413,5.73571489197381,-0.323090880993356,0.749734095977117,0.890781786389571,-6.99037322916135
"207665_at",0.0675557320849868,6.03022311328044,0.323066274564024,0.749752474242017,0.890781786389571,-6.99038144506989
"206684_s_at",-0.100279214631789,5.20110308516366,-0.323020081182441,0.74978697596925,0.890781786389571,-6.99039686703184
"219992_at",0.055826170292985,7.23115463336453,0.322795560004409,0.749954677938622,0.890933522871798,-6.99047179378888
"216192_at",0.127371052353983,4.30939320734705,0.322527100288868,0.750155215604691,0.891097789887585,-6.99056131589983
"213427_at",0.0740014925687565,6.19314665480646,0.322479264761482,0.750190950331695,0.891097789887585,-6.99057725966531
"207560_at",-0.0482138135013779,5.87178756993518,-0.322372380610848,0.750270798414636,0.891097789887585,-6.99061287610136
"220921_at",0.127343044759401,3.12240371483579,0.322359665500092,0.750280297461921,0.891097789887585,-6.99061711231173
"213559_s_at",0.0957995967938786,3.00573089801372,0.322342793649583,0.75029290193739,0.891097789887585,-6.99062273314046
"208849_at",0.0995655437178239,4.71165573365778,0.322023520858942,0.7505314349317,0.891333580162184,-6.99072904341208
"202006_at",-0.0449449140119737,8.65570349470753,-0.321903308807626,0.750621253590787,0.891392741087375,-6.99076904413812
"206156_at",-0.0696523084247661,2.90615974442559,-0.321809034047183,0.750691695255203,0.891428885977708,-6.99080040384624
"208827_at",0.0523662419937381,8.34968289912754,0.321703434733763,0.750770601215591,0.891475077634393,-6.99083551976984
"205968_at",0.172896689972542,5.22730802363065,0.321641233061344,0.750817080880058,0.891482763001563,-6.99085619892971
"207325_x_at",-0.0694490695624021,2.60834857529204,-0.32154959610089,0.750885557574285,0.891487364834335,-6.99088665673739
"206629_at",0.0573442086799095,1.87218858654265,0.321528969088605,0.750900971618527,0.891487364834335,-6.99089351144935
"207680_x_at",0.18853126886561,3.44291783994394,0.321378834677123,0.751013166471373,0.891528624410341,-6.99094339058273
"211548_s_at",0.141322913115287,5.40842118420576,0.32137538651136,0.751015743338263,0.891528624410341,-6.99094453589529
"219590_x_at",-0.0647851279277356,8.01863037681895,-0.321229290476359,0.751124925866148,0.891600882157221,-6.9909930506938
"211774_s_at",0.0950397100080993,5.47521415634491,0.321186858358467,0.751156637828727,0.891600882157221,-6.99100713723275
"201962_s_at",-0.172495436052738,4.24603260019159,-0.320848866392035,0.751409254733906,0.891837152072247,-6.99111927739412
"214299_at",-0.0769451269695831,5.81296520437543,-0.320813436166676,0.751435737116028,0.891837152072247,-6.99113102578701
"218682_s_at",0.0378715500776985,7.29985213725431,0.320702946403764,0.75151832488982,0.891851603319898,-6.9911676550988
"222007_s_at",0.044487350394639,2.2364873206489,0.320690054998743,0.751527961025792,0.891851603319898,-6.9911719280136
"215689_s_at",0.0524130234296053,2.63490823187652,0.320462736856753,0.751697884813136,0.892005749669353,-6.99124724569672
"220931_at",0.119896498522324,3.90559525851365,0.320140862736012,0.751938512687877,0.892162717114673,-6.9913538022833
"36129_at",0.052503631370255,8.85597766899963,0.320112384460747,0.751959803828552,0.892162717114673,-6.99136322492336
"221977_at",0.0569379243372654,2.05911404081077,0.320085990371066,0.751979536955325,0.892162717114673,-6.99137195722517
"206972_s_at",0.162172431821934,3.68811987045012,0.320057845315293,0.752000579355674,0.892162717114673,-6.99138126803627
"222234_s_at",-0.0848362010230292,3.26528802204109,-0.320018024742035,0.752030351189916,0.892162717114673,-6.99139443990021
"221299_at",-0.0954556792851677,3.80633629536602,-0.319912091400487,0.752109554129987,0.892209177740551,-6.99142947266673
"213506_at",-0.156282711259543,2.12819574415105,-0.319292595848507,0.752572786901186,0.892711174368865,-6.99163411337639
"205029_s_at",0.0579654283417589,1.21906490421798,0.319194896748574,0.752645850903273,0.892750319156693,-6.99166635088481
"203928_x_at",0.120390082142252,4.49161329480047,0.319005347260773,0.752787611731411,0.892870940129399,-6.99172886814565
"214116_at",0.0804838702949782,5.89610422901686,0.318891125301463,0.752873040696921,0.892924737377555,-6.99176652309961
"218743_at",0.0702662908589493,6.08621359589017,0.318825675611715,0.752921993333904,0.892935269437403,-6.9917880935355
"204970_s_at",0.0661415052187517,6.23254417754076,0.318710667864687,0.753008015149584,0.8929897605949,-6.99182598633339
"216992_s_at",-0.120588468803359,2.27543475622419,-0.318577694866185,0.753107478444891,0.893060185311453,-6.99186978144873
"221448_s_at",0.070728735989436,5.58054661159905,0.318464601371276,0.75319207540054,0.893084766261786,-6.99190701493468
"205874_at",-0.0914518207619415,2.47212413962543,-0.31844282419312,0.753208365675975,0.893084766261786,-6.99191418307648
"201837_s_at",-0.052363906833922,7.23202491606451,-0.318340209881609,0.753285127222513,0.89312825848139,-6.99194795290767
"207250_at",-0.129321095471013,4.85013493586278,-0.317907618187854,0.753608759979722,0.89333098160927,-6.99209019803342
"204887_s_at",0.109395445376989,3.38614273951605,0.317874308667037,0.753633681595186,0.89333098160927,-6.99210114295002
"213453_x_at",-0.0646544152827167,11.7852846955279,-0.317871432727264,0.75363583333717,0.89333098160927,-6.99210208787944
"210738_s_at",0.140905111898401,1.50735190563391,0.317851238630245,0.75365094236439,0.89333098160927,-6.99210872268823
"213041_s_at",-0.110512646261841,7.44059167954495,-0.317843730559073,0.753656559856063,0.89333098160927,-6.99211118937274
"216854_at",0.0570965406969972,2.76160347001288,0.317486450217019,0.753923890896862,0.893588651432484,-6.99222850271173
"211177_s_at",-0.158838786789345,5.26387369223211,-0.317446017774688,0.753954146011853,0.893588651432484,-6.99224177050962
"219510_at",0.102606185370935,5.75234589154989,0.317214972934934,0.754127041870521,0.893746030954198,-6.99231755514259
"207143_at",0.0972990761020305,3.61361343504243,0.31652188412683,0.7546457743816,0.894251488575905,-6.99254456610642
"203710_at",0.0670308160394257,6.25579251884627,0.31651543963506,0.754650598226821,0.894251488575905,-6.99254667459591
"210617_at",0.0816227723239785,5.32674960866315,0.316459401727011,0.754692544277552,0.894251488575905,-6.99256500711783
"221145_at",-0.149665156262326,2.35172331670727,-0.316430652451154,0.754714064271349,0.894251488575905,-6.99257441105182
